chr,pos,ensg,enst,ense,genID,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,n_exones_en_pos
chr10,101728712,ENSG00000163328,ENST00000392551,ENSE00001512356,GPR155,91.121,214,15,3,225,434,868,655,5.97e-76,287.0,3
chr5,43541207,ENSG00000196208,ENST00000381486;ENST00000396123,ENSE00001523984,GREB1,93.396,212,10,3,1,208,1279,1490,5.81e-83,311.0,2
chr12,131871548,ENSG00000196208,ENST00000234142,ENSE00001070281,GREB1,92.823,209,13,1,590,796,1486,1278,3.09e-80,302.0,2
chr1,13470159,ENSG00000196208,ENST00000381486;ENST00000396123,ENSE00001523984,GREB1,91.257,183,11,2,1,182,1307,1485,4.39e-63,244.0,2
chr16,433137,ENSG00000196208,ENST00000381486;ENST00000396123,ENSE00001523984,GREB1,92.67,191,12,2,1,189,1300,1490,6.19e-72,274.0,2
chr2,128082398,ENSG00000196208,ENST00000381486;ENST00000396123,ENSE00001523984,GREB1,92.228,193,13,2,784,974,1194,1386,2.97e-71,272.0,2
chr21,25880076,ENSG00000196208,ENST00000234142,ENSE00001070281,GREB1,91.628,215,17,1,295,508,1490,1276,8.980000000000001e-79,296.0,2
chr11,108113334,ENSG00000196208,ENST00000234142,ENSE00001070281,GREB1,90.608,181,14,3,128,306,1484,1305,5.84e-61,237.0,2
chr3,11599600,ENSG00000196208,ENST00000234142,ENSE00001070281,GREB1,93.897,213,12,1,1,212,1278,1490,6.0500000000000006e-86,320.0,2
chr17,75431292,ENSG00000196208,ENST00000234142,ENSE00001070281,GREB1,93.365,211,13,1,483,692,1236,1446,4.45e-83,311.0,2
chr3,155814056,ENSG00000196208,ENST00000381486;ENST00000396123,ENSE00001523984,GREB1,92.308,208,14,2,1,206,1283,1490,5.1e-78,294.0,2
chr6,97238860,ENSG00000196208,ENST00000234142,ENSE00001070281,GREB1,94.34,212,10,2,290,500,1486,1276,4.05e-87,324.0,2
chr19,1327912,ENSG00000196208,ENST00000234142,ENSE00001070281,GREB1,92.708,192,12,2,9,199,1300,1490,1.5400000000000001e-72,276.0,2
chr9,42343511,ENSG00000196208,ENST00000381486;ENST00000396123,ENSE00001523984,GREB1,90.686,204,16,3,1,202,1396,1194,9.95e-70,268.0,2
chr14,21260117,ENSG00000196208,ENST00000234142,ENSE00001070281,GREB1,93.782,193,11,1,573,764,1490,1298,2.31e-76,289.0,2
chr7,105511135,ENSG00000196208,ENST00000234142,ENSE00001070281,GREB1,92.67,191,14,0,1,191,1300,1490,1.6e-72,276.0,2
chr12,70945266,ENSG00000111305,ENST00000432710;ENST00000651961,ENSE00001839096,GSG1,91.892,185,11,4,13296,13478,1687,1505,4.21e-65,255.0,2
chr4,119796374,ENSG00000111305,ENST00000432710;ENST00000651961,ENSE00001839096,GSG1,94.18,189,11,0,463,651,1152,1340,1.95e-76,289.0,2
chr9,65585250,ENSG00000111305,ENST00000337630,ENSE00001619352,GSG1,92.537,201,15,0,14,214,1352,1152,1.73e-76,289.0,2
chr16,28915167,ENSG00000134202,ENST00000256594,ENSE00001024579,GSTM3,90.0,190,19,0,1,190,1420,1231,1.12e-63,246.0,2
chr12,131871548,ENSG00000276910,ENST00000626864,ENSE00003773479,GTF2H2,90.865,208,18,1,590,796,1102,1309,5.210000000000001e-73,278.0,2
chr6,43312604,ENSG00000237125,ENST00000505817;ENST00000686274,ENSE00004160985,HAND2-AS1,90.374,187,10,3,689,874,686,865,2.73e-61,239.0,2
chr12,6139268,ENSG00000237125,ENST00000505817;ENST00000686274,ENSE00004160985,HAND2-AS1,90.055,181,16,2,2184,2363,865,686,3.91e-59,233.0,2
chr14,21260117,ENSG00000237125,ENST00000689927;ENST00000785274;ENST00000785277,ENSE00004160927,HAND2-AS1,92.386,197,15,0,569,765,393,589,3.8599999999999995e-74,281.0,4
chr6,43313059,ENSG00000237125,ENST00000689927;ENST00000785274;ENST00000785277,ENSE00004160927,HAND2-AS1,90.374,187,10,3,235,420,686,865,2.71e-61,239.0,2
chr12,45781372,ENSG00000237125,ENST00000689927;ENST00000785274;ENST00000785277,ENSE00004160927,HAND2-AS1,91.111,180,15,1,733,911,865,686,2.4499999999999998e-62,243.0,2
chr17,62226312,ENSG00000237125,ENST00000505817;ENST00000686274,ENSE00004160985,HAND2-AS1,90.608,181,14,3,294,472,865,686,1.11e-60,237.0,2
chr11,8158765,ENSG00000234129,ENST00000686676,ENSE00004239847,HCCS-DT,91.837,196,11,4,1137,1329,1028,1221,6.86e-70,268.0,2
chr21,25880076,ENSG00000213614,ENST00000683243,ENSE00003916949,HEXA,91.324,219,19,0,290,508,1201,983,6.94e-80,300.0,2
chr11,108113334,ENSG00000213614,ENST00000268097,ENSE00001826978,HEXA,91.623,191,14,2,117,306,1201,1012,9.64e-69,263.0,2
chr3,155814056,ENSG00000213614,ENST00000268097,ENSE00001826978,HEXA,94.811,212,10,1,1,211,990,1201,1.4000000000000002e-88,329.0,2
chr3,155814056,ENSG00000010704,ENST00000357618,ENSE00004023057,HFE,90.61,213,19,1,1,212,1234,1022,3.9699999999999995e-74,281.0,8
chr4,119796374,ENSG00000258667,ENST00000698331,ENSE00003973295,HIF1A-AS3,97.917,192,4,0,460,651,947,1138,8.88e-90,333.0,4
chr9,115321587,ENSG00000258667,ENST00000698332,ENSE00003973333,HIF1A-AS3,94.954,218,11,0,940,1157,435,652,2.66e-92,342.0,5
chr9,65585250,ENSG00000258667,ENST00000698331,ENSE00003973295,HIF1A-AS3,96.098,205,8,0,14,218,1150,946,2.2e-90,335.0,4
chr1,97898153,ENSG00000258667,ENST00000698331,ENSE00003973295,HIF1A-AS3,97.253,182,5,0,1856,2037,35,216,4.79e-82,309.0,5
chr11,8158765,ENSG00000258667,ENST00000698331,ENSE00003973295,HIF1A-AS3,91.089,202,13,3,1132,1329,1509,1309,6.86e-70,268.0,3
chr14_GL000225v1_random,109472,ENSG00000258667,ENST00000733793,ENSE00004065342,HIF1A-AS3,91.626,203,14,3,198,400,1749,1948,4.92e-73,278.0,4
chr7,105511135,ENSG00000105323,ENST00000601309,ENSE00003177134,HNRNPUL1,90.404,198,15,3,1,196,283,88,5.81e-67,257.0,2
chr12,118295133,ENSG00000107521,ENST00000699156,ENSE00003975710,HPS1,90.769,195,15,2,1,194,936,1128,8.38e-67,257.0,2
chr14,21260117,ENSG00000170509,ENST00000302219,ENSE00001333686,HSD17B13,93.814,194,12,0,572,765,1277,1084,1.79e-77,292.0,2
chr22,37529117,ENSG00000170509,ENST00000302219,ENSE00001333686,HSD17B13,94.787,211,11,0,380,590,1282,1072,1.05e-88,329.0,2
chr21,25880076,ENSG00000170509,ENST00000302219,ENSE00001333686,HSD17B13,91.324,219,19,0,290,508,1281,1063,6.94e-80,300.0,2
chr3,152893522,ENSG00000170509,ENST00000302219,ENSE00001333686,HSD17B13,91.866,209,14,3,1,206,1181,973,4.45e-76,289.0,2
chr10,96439188,ENSG00000163596,ENST00000392237,ENSE00001401775,ICA1L,91.469,211,18,0,1,211,1680,1470,9.860000000000001e-77,291.0,3
chr3,172691863,ENSG00000163596,ENST00000617388,ENSE00003746967,ICA1L,91.96,199,14,2,821,1017,1468,1666,6.68e-73,278.0,3
chr3,11599600,ENSG00000163596,ENST00000617388,ENSE00003746967,ICA1L,92.627,217,16,0,1,217,1686,1470,1.01e-83,313.0,3
chr3,152893522,ENSG00000163596,ENST00000617388,ENSE00003746967,ICA1L,90.594,202,19,0,1,202,1570,1771,5.800000000000001e-70,268.0,3
chr21,25880076,ENSG00000160223,ENST00000700351,ENSE00003979597,ICOSLG,91.324,219,18,1,290,508,277,494,2.5000000000000003e-79,298.0,2
chr22,37529117,ENSG00000160223,ENST00000700351,ENSE00003979597,ICOSLG,95.283,212,9,1,379,590,275,485,2.2599999999999997e-90,335.0,2
chr3,48499782,ENSG00000138002,ENST00000675963,ENSE00003901821,IFT172,90.476,189,15,2,476,663,311,497,1.22e-63,246.0,3
chr3,152893522,ENSG00000105948,ENST00000464848,ENSE00001944722,IFT56,90.769,195,18,0,1,195,1124,930,9.7e-68,261.0,2
chr2,128082398,ENSG00000161405,ENST00000346872,ENSE00001845780,IKZF3,91.795,195,14,2,783,976,3587,3780,1.0700000000000001e-70,270.0,3
chr12,118295133,ENSG00000161405,ENST00000346872,ENSE00001845780,IKZF3,93.878,196,11,1,1,195,6076,5881,6.39e-78,294.0,3
chr19,36195648,ENSG00000161405,ENST00000377958,ENSE00003471172,IKZF3,92.188,192,15,0,1,192,6065,5874,8.999999999999999e-71,272.0,3
chr2,128082398,ENSG00000198001,ENST00000696792,ENSE00003968370,IRAK4,92.708,192,11,2,784,973,1861,2051,8.27e-72,274.0,3
chr6,97238860,ENSG00000143319,ENST00000472824,ENSE00001820504,ISG20L2,91.781,219,17,1,282,500,899,1116,5.2799999999999985e-81,303.0,3
chr14,21260117,ENSG00000143319,ENST00000472824,ENSE00001820504,ISG20L2,91.878,197,16,0,569,765,899,1095,1.8e-72,276.0,3
chr3,155814056,ENSG00000143319,ENST00000313146,ENSE00001270661,ISG20L2,92.891,211,14,1,1,210,1109,899,2.36e-81,305.0,3
chr7,105511135,ENSG00000143319,ENST00000368219,ENSE00001430889,ISG20L2,90.256,195,18,1,1,195,1092,899,7.51e-66,254.0,3
chr3,11599600,ENSG00000105639,ENST00000696967,ENSE00003969088,JAK3,90.323,217,21,0,1,217,1075,1291,2.21e-75,285.0,3
chr3,152893522,ENSG00000105639,ENST00000696967,ENSE00003969088,JAK3,90.148,203,20,0,1,203,1191,989,7.499999999999999e-69,265.0,3
chr2,128082398,ENSG00000105639,ENST00000458235,ENSE00001355889,JAK3,91.5,200,15,1,777,974,983,1182,8.27e-72,274.0,3
chr3,155814056,ENSG00000105639,ENST00000696967,ENSE00003969088,JAK3,90.566,212,19,1,1,211,1080,1291,1.4300000000000002e-73,279.0,3
chr12,118295133,ENSG00000225470,ENST00000805253,ENSE00004197328,JPX,90.355,197,17,2,1,195,49,245,8.38e-67,257.0,5
chr3,155814056,ENSG00000225470,ENST00000602772,ENSE00003347017,JPX,91.038,212,15,4,1,210,1102,893,1.1e-74,283.0,3
chr11,66517456,ENSG00000173120,ENST00000398645,ENSE00002184635,KDM2A,100.0,181,0,0,238,418,601,781,4.129999999999999e-90,335.0,2
chr22,37529117,ENSG00000229852,ENST00000441363,ENSE00001597284,KHDC1-AS1,95.872,218,9,0,381,598,1879,2096,6.24e-96,353.0,3
chr19,1327912,ENSG00000229852,ENST00000671298,ENSE00003872080,KHDC1-AS1,93.137,204,13,1,1,204,2081,1879,3.2900000000000005e-79,298.0,2
chr14,21260117,ENSG00000229852,ENST00000671298,ENSE00003872080,KHDC1-AS1,94.416,197,11,0,569,765,1880,2076,8.25e-81,303.0,3
chr21,25880076,ENSG00000229852,ENST00000441363,ENSE00001597284,KHDC1-AS1,94.521,219,12,0,290,508,1879,2097,1.47e-91,339.0,3
chr5,43541207,ENSG00000229852,ENST00000671298,ENSE00003872080,KHDC1-AS1,93.519,216,11,2,1,213,2094,1879,3.47e-85,318.0,2
chr12,131871548,ENSG00000229852,ENST00000441363,ENSE00001597284,KHDC1-AS1,92.925,212,14,1,586,796,1884,2095,6.64e-82,307.0,2
chr16,433137,ENSG00000229852,ENST00000671298,ENSE00003872080,KHDC1-AS1,91.282,195,16,1,1,194,2073,1879,3.73e-69,265.0,2
chr3,155814056,ENSG00000229852,ENST00000441363,ENSE00001597284,KHDC1-AS1,92.925,212,14,1,1,211,2090,1879,6.56e-82,307.0,2
chr10,96439188,ENSG00000229852,ENST00000662430,ENSE00003862110,KHDC1-AS1,91.244,217,19,0,1,217,2089,1873,2.12e-78,296.0,3
chr7,105511135,ENSG00000229852,ENST00000671298,ENSE00003872080,KHDC1-AS1,90.404,198,18,1,1,198,2073,1877,1.6099999999999998e-67,259.0,3
chr3,11599600,ENSG00000229852,ENST00000441363,ENSE00001597284,KHDC1-AS1,94.931,217,11,0,1,217,2095,1879,4.64e-92,340.0,2
chr12,118295133,ENSG00000100578,ENST00000652326,ENSE00003893728,KIAA0586,90.816,196,17,1,1,195,2312,2507,6.4799999999999986e-68,261.0,2
chr5,76191180,ENSG00000186185,ENST00000587309,ENSE00002928705,KIF18B,90.367,218,13,5,1613,1830,1248,1039,4.92e-73,279.0,2
chr1,93876124,ENSG00000186185,ENST00000593135,ENSE00002828821,KIF18B,90.431,209,16,3,186,393,728,933,7.74e-71,272.0,2
chr5,43541207,ENSG00000186185,ENST00000593135,ENSE00002828821,KIF18B,90.278,216,15,4,1,213,806,1018,5.890000000000001e-73,278.0,2
chr12,49611687,ENSG00000186185,ENST00000587309,ENSE00002928705,KIF18B,92.021,188,13,2,2,187,1224,1037,1.3599999999999996e-68,263.0,2
chr11,66598463,ENSG00000054523,ENST00000676179;ENST00000377086,ENSE00001472746,KIF1B,90.455,220,21,0,552,771,3889,4108,6.4900000000000005e-77,291.0,3
chr1,10971075,ENSG00000079616,ENST00000563666,ENSE00003933082,KIF22,92.67,191,11,2,1807,1994,577,767,6.19e-71,272.0,4
chr1,10971075,ENSG00000227398,ENST00000723181,ENSE00004044515,KIF9-AS1,90.256,195,18,1,1812,2005,569,375,2.24e-65,254.0,2
chr3,163386379,ENSG00000231160,ENST00000767110,ENSE00004126361,KLF3-AS1,91.705,217,17,1,1548,1764,216,1,1.25e-78,300.0,2
chrX,9388955,ENSG00000102349,ENST00000374928,ENSE00002266048,KLF8,90.547,201,19,0,1,201,2079,1879,1.11e-69,267.0,3
chr7,113871177,ENSG00000291793,ENST00000708772,ENSE00004006453,KLHL33,97.17,212,6,0,1,212,2693,2904,2.23e-97,359.0,2
chr3,102824528,ENSG00000291793,ENST00000708771,ENSE00004006451,KLHL33,96.907,194,6,0,12,205,2680,2873,2.03e-87,326.0,2
chr3,102824528,ENSG00000185271,ENST00000637228,ENSE00003795718,KLHL33,96.907,194,6,0,12,205,2711,2904,2.03e-87,326.0,2
chr7,113871177,ENSG00000185271,ENST00000636854,ENSE00003794152,KLHL33,97.17,212,6,0,1,212,2662,2873,2.23e-97,359.0,2
chr9,65585250,ENSG00000185271,ENST00000636854,ENSE00003794152,KLHL33,93.269,208,14,0,11,218,2562,2769,4.79e-82,307.0,2
chr4,119796374,ENSG00000185271,ENST00000637228,ENSE00003795718,KLHL33,95.312,192,9,0,460,651,2799,2608,1.94e-81,305.0,2
chr4,119796374,ENSG00000291793,ENST00000708771,ENSE00004006451,KLHL33,95.312,192,9,0,460,651,2768,2577,1.94e-81,305.0,2
chr9,65585250,ENSG00000291793,ENST00000708772,ENSE00004006453,KLHL33,93.269,208,14,0,11,218,2593,2800,4.79e-82,307.0,2
chr2,117568083,ENSG00000134539,ENST00000336164,ENSE00003848453,KLRD1,91.244,217,17,2,591,806,2583,2368,5.23e-78,294.0,3
chr1,105571333,ENSG00000134539,ENST00000381908,ENSE00002232794,KLRD1,92.079,202,15,1,316,517,2383,2583,3.22e-74,283.0,3
chr19,27867848,ENSG00000134539,ENST00000350274,ENSE00001525025,KLRD1,91.579,190,15,1,15,204,2391,2579,4.8799999999999995e-68,261.0,3
chr21,25880076,ENSG00000278154,ENST00000618324,ENSE00003747445,LAIR1,92.273,220,16,1,290,508,1383,1602,3.21e-83,311.0,3
chr21,25880076,ENSG00000276053,ENST00000619717,ENSE00003736557,LAIR1,92.273,220,16,1,290,508,1383,1602,3.21e-83,311.0,2
chr7,5791814,ENSG00000278154,ENST00000618324,ENSE00003747445,LAIR1,92.063,189,14,1,437,624,1369,1557,3.1499999999999997e-69,265.0,3
chr19,38774746,ENSG00000276163,ENST00000616724,ENSE00003735707,LAIR1,93.981,216,11,1,311,526,1403,1616,2.02e-87,326.0,2
chr7,5791814,ENSG00000276053,ENST00000618291,ENSE00003743395,LAIR1,92.063,189,14,1,437,624,1369,1557,3.1499999999999997e-69,265.0,2
chr19,38774746,ENSG00000278154,ENST00000621291,ENSE00003715177,LAIR1,93.981,216,11,1,311,526,1403,1616,2.02e-87,326.0,3
chr19,38774746,ENSG00000276053,ENST00000618291,ENSE00003743395,LAIR1,93.981,216,11,1,311,526,1403,1616,2.02e-87,326.0,2
chr7,5791814,ENSG00000276163,ENST00000622830,ENSE00003721367,LAIR1,92.063,189,14,1,437,624,1369,1557,3.1499999999999997e-69,265.0,2
chr5,43541207,ENSG00000276053,ENST00000618291,ENSE00003743395,LAIR1,92.166,217,13,3,1,213,1599,1383,9.719999999999999e-81,303.0,2
chr3,172691863,ENSG00000278154,ENST00000618324,ENSE00003747445,LAIR1,93.434,198,10,2,823,1017,1383,1580,8.58e-77,291.0,2
chr3,172691863,ENSG00000276053,ENST00000618291,ENSE00003743395,LAIR1,93.434,198,10,2,823,1017,1383,1580,8.58e-77,291.0,2
chr3,152893522,ENSG00000278154,ENST00000618324,ENSE00003747445,LAIR1,90.821,207,16,2,1,206,1483,1687,1.25e-71,274.0,2
chr2,128082398,ENSG00000276053,ENST00000618291,ENSE00003743395,LAIR1,92.67,191,13,1,784,973,1683,1493,8.27e-72,274.0,2
chr3,152893522,ENSG00000276053,ENST00000618291,ENSE00003743395,LAIR1,90.821,207,16,2,1,206,1483,1687,1.25e-71,274.0,2
chr5,43541207,ENSG00000278154,ENST00000618324,ENSE00003747445,LAIR1,92.166,217,13,3,1,213,1599,1383,9.719999999999999e-81,303.0,2
chr2,128082398,ENSG00000278154,ENST00000611304,ENSE00003731373,LAIR1,92.67,191,13,1,784,973,1683,1493,8.27e-72,274.0,2
chr21,25880076,ENSG00000276163,ENST00000616724,ENSE00003735707,LAIR1,92.273,220,16,1,290,508,1383,1602,3.21e-83,311.0,2
chr3,152893522,ENSG00000147036,ENST00000378621,ENSE00001844877,LANCL3,90.865,208,17,2,1,208,6648,6443,9.640000000000001e-73,278.0,2
chr12,49611687,ENSG00000147036,ENST00000378621,ENSE00001844877,LANCL3,94.595,185,10,0,1,185,6639,6455,8.08e-76,287.0,2
chr1,85154441,ENSG00000147036,ENST00000378621,ENSE00001844877,LANCL3,90.104,192,17,2,310,499,6630,6439,2.58e-64,248.0,2
chr22,31355855,ENSG00000147036,ENST00000378621,ENSE00001844877,LANCL3,91.743,218,15,2,146,362,6710,6495,9.22e-80,300.0,2
chr4,19981,ENSG00000147036,ENST00000378619,ENSE00001957816,LANCL3,90.055,181,13,5,432,612,6425,6600,1.1900000000000001e-57,230.0,2
chr2,128082398,ENSG00000147036,ENST00000378619,ENSE00001957816,LANCL3,93.264,193,12,1,783,974,6447,6639,1.37e-74,283.0,2
chr12,118295133,ENSG00000133706,ENST00000674417,ENSE00003898503,LARS1,91.878,197,15,1,1,196,701,897,8.32e-72,274.0,2
chr7,105511135,ENSG00000130164,ENST00000559340,ENSE00004011959,LDLR,90.306,196,17,2,1,196,1349,1156,2.09e-66,255.0,4
chr15,33894705,ENSG00000130164,ENST00000560467;ENST00000252444,ENSE00004011960,LDLR,90.055,181,15,3,621,800,1153,1331,4.130000000000001e-59,231.0,4
chr14,21260117,ENSG00000130164,ENST00000558518,ENSE00002553919,LDLR,92.857,196,13,1,569,764,1157,1351,1.07e-74,283.0,4
chr22,37529117,ENSG00000130164,ENST00000560467;ENST00000252444,ENSE00004011960,LDLR,96.347,219,7,1,380,598,1155,1372,1.34e-97,359.0,4
chr6,97238860,ENSG00000130164,ENST00000713991,ENSE00004022083,LDLR,92.273,220,15,2,281,500,1156,1373,3.15e-83,311.0,4
chr21,25880076,ENSG00000130164,ENST00000713991,ENSE00004022083,LDLR,91.781,219,17,1,290,508,1156,1373,5.3699999999999985e-81,303.0,4
chr3,11599600,ENSG00000130164,ENST00000713991,ENSE00004022083,LDLR,93.119,218,14,1,1,218,1371,1155,2.18e-85,318.0,4
chr12,118295133,ENSG00000121897,ENST00000640381;ENST00000640689,ENSE00003801511,LIAS,92.35,183,12,2,13,194,873,692,2.3299999999999997e-67,259.0,2
chr1,93876124,ENSG00000169756,ENST00000695520,ENSE00003964134,LIMS1,90.187,214,17,2,183,393,2906,2694,5.980000000000001e-72,276.0,2
chr19,27867848,ENSG00000225880,ENST00000743853;ENST00000743852,ENSE00004082603,LINC00115,91.837,196,16,0,15,210,528,723,6.270000000000003e-72,274.0,5
chr20,43323464,ENSG00000226620,ENST00000667582,ENSE00003851219,LINC00343,95.631,206,9,0,334,539,1472,1267,2.62e-89,331.0,3
chr9,115321587,ENSG00000226620,ENST00000670429,ENSE00003877176,LINC00343,94.037,218,13,0,940,1157,1545,1762,5.76e-89,331.0,3
chr6,96983069,ENSG00000226620,ENST00000670429,ENSE00003877176,LINC00343,94.258,209,12,0,774,982,1270,1062,1.7500000000000002e-85,320.0,3
chr9,65585250,ENSG00000226620,ENST00000667582,ENSE00003851219,LINC00343,95.522,201,9,0,18,218,1434,1234,1.71e-86,322.0,3
chr4,119796374,ENSG00000226620,ENST00000670429,ENSE00003877176,LINC00343,97.396,192,5,0,460,651,2061,2252,4.13e-88,327.0,3
chr9,9008027,ENSG00000226620,ENST00000667582,ENSE00003851219,LINC00343,95.0,200,10,0,830,1029,236,435,2.45e-83,315.0,3
chr5,97530702,ENSG00000226620,ENST00000667582,ENSE00003851219,LINC00343,95.05,202,10,0,2171,2372,1271,1472,1.06e-84,318.0,3
chr6,96983518,ENSG00000226620,ENST00000667582,ENSE00003851219,LINC00343,94.258,209,12,0,325,533,444,236,1.7500000000000002e-85,320.0,3
chr3,11599600,ENSG00000227674,ENST00000669788,ENSE00003886041,LINC00355,91.549,213,18,0,1,213,373,161,3.67e-78,294.0,2
chr11,44663612,ENSG00000228295,ENST00000793094,ENSE00004175610,LINC00392,95.0,180,9,0,1,180,91,270,8.46e-75,283.0,2
chr14,68356234,ENSG00000230876,ENST00000657199,ENSE00004031968,LINC00486,90.431,209,14,5,6,212,592,388,5.9e-71,270.0,2
chr3,11599600,ENSG00000203645,ENST00000425388,ENSE00004103354,LINC00501,92.488,213,16,0,1,213,867,1079,1.69e-81,305.0,2
chr6,97238860,ENSG00000203645,ENST00000425388,ENSE00004103354,LINC00501,90.868,219,19,1,282,500,1082,865,1.14e-77,292.0,2
chr5,100287510,ENSG00000248360,ENST00000509654,ENSE00003724538,LINC00504,93.981,216,12,1,1,215,264,479,3.49e-87,326.0,2
chr4,119796374,ENSG00000223546,ENST00000670178,ENSE00003868371,LINC00630,96.907,194,4,1,460,651,697,504,5.35e-87,324.0,2
chr9,65585250,ENSG00000223546,ENST00000661018,ENSE00003854049,LINC00630,95.169,207,8,1,14,218,492,698,1.32e-87,326.0,2
chr15,50897103,ENSG00000259070,ENST00000658492,ENSE00003874051,LINC00639,95.477,199,9,0,8,206,1222,1024,3.96e-85,318.0,2
chr11,15358698,ENSG00000259070,ENST00000658492,ENSE00003874051,LINC00639,94.416,197,11,0,12,208,1220,1024,1.72e-80,303.0,2
chr13,61160362,ENSG00000259070,ENST00000658492,ENSE00003874051,LINC00639,94.5,200,11,0,1,200,1223,1024,3.1e-82,309.0,2
chr4,119796374,ENSG00000259070,ENST00000658492,ENSE00003874051,LINC00639,95.213,188,8,1,460,647,1154,1340,1.17e-78,296.0,3
chr3,102824528,ENSG00000259070,ENST00000658492,ENSE00003874051,LINC00639,94.037,218,13,0,12,229,1241,1024,4.3499999999999994e-89,331.0,2
chr19,38774746,ENSG00000259070,ENST00000702408,ENSE00004144426,LINC00639,94.037,218,12,1,311,528,733,949,1.56e-88,329.0,4
chrX,30772629,ENSG00000237945,ENST00000813310,ENSE00004213251,LINC00649,97.273,220,5,1,683,901,1,220,8e-101,372.0,3
chr11,114842974,ENSG00000237945,ENST00000813309,ENSE00004213259,LINC00649,95.722,187,8,0,353,539,187,1,6.79e-80,302.0,2
chr9,86586831,ENSG00000254934,ENST00000838907,ENSE00004260663,LINC00678,90.05,201,14,5,5,202,253,56,7.93e-66,255.0,3
chr3,87570728,ENSG00000254934,ENST00000838929,ENSE00004260653,LINC00678,90.783,217,18,2,490,706,1,215,3.79e-76,289.0,2
chr4,91046088,ENSG00000254934,ENST00000838931,ENSE00004260640,LINC00678,91.429,210,16,2,5456,5664,209,1,6.53e-75,287.0,3
chr5,43541207,ENSG00000254275,ENST00000523173,ENSE00002130905,LINC00824,93.056,216,12,2,1,213,352,137,1.62e-83,313.0,2
chr3,155814056,ENSG00000254275,ENST00000756798,ENSE00004107179,LINC00824,93.868,212,12,1,1,211,348,137,3.03e-85,318.0,2
chr2,135833532,ENSG00000254275,ENST00000523173,ENSE00002130905,LINC00824,90.141,213,21,0,1,213,349,137,2.64e-72,278.0,2
chr2,128082398,ENSG00000254275,ENST00000523173,ENSE00002130905,LINC00824,94.18,189,10,1,786,974,433,246,1.06e-75,287.0,2
chr3,152893522,ENSG00000254275,ENST00000523173,ENSE00002130905,LINC00824,92.424,198,15,0,2,199,238,435,2.07e-74,283.0,2
chr10,96439188,ENSG00000254275,ENST00000523173,ENSE00002130905,LINC00824,90.047,211,21,0,1,211,347,137,9.930000000000001e-72,274.0,2
chr16,433137,ENSG00000254275,ENST00000523173,ENSE00002130905,LINC00824,91.282,195,16,1,1,194,331,137,3.73e-69,265.0,2
chr19,1327912,ENSG00000254275,ENST00000756798,ENSE00004107179,LINC00824,91.176,204,17,1,1,204,339,137,1.5400000000000001e-72,276.0,2
chrX,15267555,ENSG00000254275,ENST00000523173,ENSE00002130905,LINC00824,92.973,185,11,2,32,216,251,433,3.4e-70,268.0,2
chr6,97238860,ENSG00000254275,ENST00000756798,ENSE00004107179,LINC00824,93.182,220,14,1,281,500,137,355,1.4600000000000001e-86,322.0,2
chr12,49611687,ENSG00000254275,ENST00000756798,ENSE00004107179,LINC00824,95.135,185,9,0,1,185,246,430,1.7400000000000002e-77,292.0,2
chr17,75431292,ENSG00000254275,ENST00000756798,ENSE00004107179,LINC00824,92.891,211,15,0,482,692,396,186,5.75e-82,307.0,2
chr1,93876124,ENSG00000254275,ENST00000523173,ENSE00002130905,LINC00824,91.08,213,16,2,180,392,435,226,9.94e-75,285.0,2
chr12,131871548,ENSG00000254275,ENST00000523173,ENSE00002130905,LINC00824,90.323,217,20,1,581,796,137,353,1.12e-74,283.0,2
chr3,11599600,ENSG00000254275,ENST00000523173,ENSE00002130905,LINC00824,94.009,217,13,0,1,217,353,137,1.01e-88,329.0,2
chr22,37529117,ENSG00000254275,ENST00000756798,ENSE00004107179,LINC00824,94.495,218,12,0,381,598,137,354,6.279999999999997e-91,337.0,2
chr3,174762375,ENSG00000254275,ENST00000756798,ENSE00004107179,LINC00824,90.411,219,20,1,2277,2494,433,215,2.75e-75,287.0,2
chr14,68356234,ENSG00000254275,ENST00000756798,ENSE00004107179,LINC00824,90.278,216,18,2,1,216,221,433,9.8e-74,279.0,2
chr1,23277272,ENSG00000254275,ENST00000756798,ENSE00004107179,LINC00824,91.549,213,17,1,7255,7467,137,348,1.78e-76,292.0,2
chr19,36195648,ENSG00000188825,ENST00000828891,ENSE00004241814,LINC00910,92.973,185,13,0,1,185,868,684,3.24e-70,270.0,2
chr12,118295133,ENSG00000188825,ENST00000828891,ENSE00004241814,LINC00910,91.237,194,16,1,3,195,877,684,1.7999999999999994e-68,263.0,2
chr11,33648576,ENSG00000251209,ENST00000658901,ENSE00003860505,LINC00923,94.054,185,10,1,16,199,204,20,3.07e-73,279.0,3
chrX,15267555,ENSG00000259134,ENST00000556053,ENSE00004264030,LINC00924,91.743,218,15,3,1,216,1013,1229,1.2e-79,300.0,5
chr8,12017551,ENSG00000226091,ENST00000735013,ENSE00004067561,LINC00937,93.011,186,13,0,2420,2605,186,1,1.89e-70,272.0,5
chr2,128082398,ENSG00000240476,ENST00000755864,ENSE00004105328,LINC00973,93.122,189,12,1,787,975,877,690,2.3e-72,276.0,5
chr2,135833532,ENSG00000240476,ENST00000755864,ENSE00004105328,LINC00973,90.244,205,20,0,16,220,779,575,1.59e-69,268.0,5
